time_period,time_identifier,geographic_level,country_code,country_name,institution_group,institution_type,cohort_level_group,cohort_level,characteristic_group,characteristic,data_type,version,inst_count,cohort,overall,education,he,fe,fel3,fel2,fel1,other_edu,ind,non_des,ssf,sfc,spec_prov,edu_combo,appren,appl4,appl3,appl2,all_work,all_notsust,notsust,notsust_ben,only_ben,all_unknown,unknown_id,unknown
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,White British,Number of pupils,Revised,z,125565,112891,81000,67369,8983,z,z,z,4654,0,0,4515,105,0,34,4155,49,1585,2521,27736,10212,4386,4414,1412,2462,2025,437
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other Asian background,Number of pupils,Revised,z,2386,2057,1809,1560,110,z,z,z,139,0,0,139,0,0,0,22,0,6,16,226,189,94,50,45,140,119,21
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Traveller of Irish Heritage,Number of pupils,Revised,z,19,18,11,6,4,z,z,z,1,0,0,1,0,0,0,2,0,1,1,5,1,1,0,0,0,0,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Unclassified,Number of pupils,Revised,z,18092,13188,9193,7120,1710,z,z,z,363,0,0,82,278,0,3,403,6,190,207,3592,2061,821,847,393,2843,684,2159
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Chinese,Number of pupils,Revised,z,1872,1675,1568,1335,152,z,z,z,81,0,0,66,14,0,1,9,0,5,4,98,82,48,25,9,115,80,35
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Traveller of Irish Heritage,Percentage,Revised,z,6,83.3,33.3,16.7,16.7,z,z,z,0,0,0,0,0,0,0,16.7,0,16.7,0,33.3,16.7,16.7,0,0,0,0,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Traveller of Irish Heritage,Percentage,Revised,z,19,94.7,57.9,31.6,21.1,z,z,z,5.3,0,0,5.3,0,0,0,10.5,0,5.3,5.3,26.3,5.3,5.3,0,0,0,0,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Unclassified,Percentage,Revised,z,18092,72.9,50.8,39.4,9.5,z,z,z,2,0,0,0.5,1.5,0,~,2.2,~,1.1,1.1,19.9,11.4,4.5,4.7,2.2,15.7,3.8,11.9
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Chinese,Percentage,Revised,z,1872,89.5,83.8,71.3,8.1,z,z,z,4.3,0,0,3.5,0.7,0,0.1,0.5,0,0.3,0.2,5.2,4.4,2.6,1.3,0.5,6.1,4.3,1.9
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,White,Percentage,Revised,z,131455,89.7,64.6,53.8,7.1,z,z,z,3.7,0,0,3.6,0.1,0,~,3.2,~,1.2,2,21.8,8.2,3.5,3.5,1.1,2.1,1.7,0.4
